Unnamed: 0,author_cred_score,tweet_text_cred_score,tweet_social_cred_score,overall_cred_score,verified,author_id,location,username,url,followers_count,following_count,tweet_count,listed_count,url_urls,description_urls,mentions_x,hashtags_x,days_on_twitter,names_not_equal,tweet_id,possibly_sensitive,retweet_count,reply_count,like_count,quote_count,impression_count,media_keys,urls,context_annotations,mentions_y,hashtags_y,annotations,text_len,has_bad_words,has_subjective_words,sentiment_analysis,name,text,label,predicted_label
2,48.12969146,21.1592281,0.1666715098,22.92034505,100,1051902349445345280,100,Darkwebhaber,100,12.33393993,0.477396322,8.09129704,19.50735659,82.45614035,0.0,0.0,0.0,30.49228508,100,1.6502389632051443e+18,0,0.06698546787,0.07415097138,0.3838463186,0.0,0.2495660343,25,4.24364368,0.0,0.0,0.0,0.0,85.71428571,0,0,100,DarkWeb Haber,"Selvi Kılıçdaroğlu: Eğitici oyun setlerini deprem bölgesi çocuklarına getirdik. Çocukların yüzlerindeki gülümseme tarif edilemeyecek kadar güzel. Ama ne yalan söyleyeyim, buralar iyi değil. Çocuklara gülümsedim ama içim çok yaralı. Çok çalışmamız lazım, çok. https://t.co/TU8ooEnYZ0",HC,HC
32770,49.72901413,22.85146274,0.9683158779,24.27110161,100,1967668326,100,yirmiucderece,100,5.710450176,0.3943708747,3.230685069,12.84509836,79.53216374,16.34506243,0.0,0.0,63.97869214,100,1.6475446366410957e+18,0,0.3442308766,0.3707548569,2.616403628,0.1977204001,1.100129375,25,4.261935248,0.0,0.0,0.0,0.0,78.41945289,100,0,0,23 DERECE,"Üniversiteler için “neredeyse fuhuş evleri” diyen Sakarya Üniversitesi öğretim üyesi Ebubekir Sofuoğlu’na, ""Kendisi de baş pezevenk herhalde"" karşılığını verdiği için yargılanan emekli öğretmen F.E. beraat etti.  

(Ankara Gazetecisi) https://t.co/LSQWVfXUhY",HC,HC
4,48.12969146,18.99194906,0.1531730881,22.20068849,100,1051902349445345280,100,Darkwebhaber,100,12.33393993,0.477396322,8.09129704,19.50735659,82.45614035,0.0,0.0,0.0,30.49228508,100,1.6502313340973752e+18,0,0.03535344138,0.1112264571,0.1963864886,0.03489183531,0.347733348,26,4.261935248,0.0,0.0,0.0,0.0,72.6443769,0,0,0,DarkWeb Haber,"İYİ Partili Ümit Dikbayır:

""21 yıldır iktidardasınız, 40 kilo 50 kilo gelen mağara farelerini PKK’yı niye bitiremediniz. Mağara faresi ya bunlar! 
21 yıldır bitiremeyeceksiniz, sonra hala PKK, HDP falan filan...""

 https://t.co/5lyKaDuhU5",HC,HC
7,48.12969146,19.238611,0.7131638493,22.46688388,100,1051902349445345280,100,Darkwebhaber,100,12.33393993,0.477396322,8.09129704,19.50735659,82.45614035,0.0,0.0,0.0,30.49228508,100,1.6502148470307348e+18,0,0.2660811641,0.697019131,1.75408841,0.03489183531,0.8303445191,25,4.24364368,24.26889941,0.0,0.0,0.0,41.33738602,0,0,100,DarkWeb Haber,"Kemal Kılıçdaroğlu; Mansur Yavaş ve Ekrem İmamoğlu'nun yanında olduğu, ""Yiğitlerim"" başlıklı bir video paylaştı. https://t.co/78UGFkZgx8",HC,HC
32779,49.72901413,14.27091563,0.5832938404,21.31246379,100,1967668326,100,yirmiucderece,100,5.710450176,0.3943708747,3.230685069,12.84509836,79.53216374,16.34506243,0.0,0.0,63.97869214,100,1.6475173289873572e+18,0,0.03349273394,1.297641999,0.12497322,0.709467318,1.248268314,25,4.261935248,0.0,0.0,0.0,0.0,47.41641337,0,0,0,23 DERECE,"Memleket Partisi milletvekili adaylığından çekilen Cem Saygı, yeni parti kurma hazırlıklarına başladığını açıklayarak destek istedi. https://t.co/p24BFcNQ5E",HC,LC
32780,49.72901413,17.66301289,2.28063767,22.99197935,100,1967668326,100,yirmiucderece,100,5.710450176,0.3943708747,3.230685069,12.84509836,79.53216374,16.34506243,0.0,0.0,63.97869214,100,1.6475161118255183e+18,0,1.172245688,1.505264719,2.057594801,1.360781577,4.651205178,25,4.261935248,0.0,0.0,0.0,0.0,66.26139818,0,0,0,23 DERECE,"Dağ başı mı burası?

Kamuoyunda ""Daltonlar"" olarak bilinen çete üyelerinin, İstanbul sokaklarında yüzleri maskeli ve uzun namlulu silahlarla gövde gösterisi yaptığı yeni görüntüler ortaya çıktı. https://t.co/SkXZsUMkFQ",HC,HC
32786,49.72901413,24.30780233,0.6393541553,24.6431363,100,1967668326,100,yirmiucderece,100,5.710450176,0.3943708747,3.230685069,12.84509836,79.53216374,16.34506243,0.0,0.0,63.97869214,100,1.647501254174679e+18,0,0.02418919673,0.4004152454,0.1356852103,0.08141428239,2.210826749,25,7.554417414,0.0,0.0,0.0,0.0,97.87234043,0,0,0,23 DERECE,"📌Özel Haber  
Eski AKP'li, yeni İYİ Parti'li Rasim Arı'nın adaylığına Nevşehir'de tepkiler sürüyor.

Sabıkası olup olmadığı ve parti üyeliğinin Yargıtay tarafından onanmadığı için inceleme istendi. 

Rasim Arı'nın aday gösterilmesi üzerine, Nevşehir İYİ Parti'de çok sayıda… https://t.co/Egd9ddY5Cy https://t.co/CbGGFwKgDi",C,HC
26,48.12969146,12.3454129,0.1052520473,19.99151761,100,1051902349445345280,100,Darkwebhaber,100,12.33393993,0.477396322,8.09129704,19.50735659,82.45614035,0.0,0.0,0.0,30.49228508,100,1.650155997569114e+18,0,0.003721414882,0.08898116565,0.1115832322,0.01163061177,0.2847050722,25,4.225352113,0.0,0.0,0.0,0.0,36.7781155,0,0,0,DarkWeb Haber,"Türkiye'ye iade edilen, Thodex kurucusu Fatih Özer, tutuklanması talebiyle hakimliğe sevk edildi. https://t.co/CHBcgUnYHa",HC,LC
32802,49.72901413,11.96773873,0.1190158909,20.39920369,100,1967668326,100,yirmiucderece,100,5.710450176,0.3943708747,3.230685069,12.84509836,79.53216374,16.34506243,0.0,0.0,63.97869214,100,1.6472952214308782e+18,0,0.05209980835,0.03707548569,0.2517317718,0.02326122354,0.1833714478,25,4.24364368,0.0,0.0,0.0,0.0,34.65045593,0,0,0,23 DERECE,"📌Milli sporcumuz Cansu Bektaş, Avrupa Büyükler Halter Şampiyonası 45 kiloda şampiyon oldu. https://t.co/srTQmsqgmU",HC,LC
36,48.12969146,13.77320986,0.7690662715,20.6817493,100,1051902349445345280,100,Darkwebhaber,100,12.33393993,0.477396322,8.09129704,19.50735659,82.45614035,0.0,0.0,0.0,30.49228508,100,1.6501185733003715e+18,0,0.1711850846,0.808245588,0.8917731915,0.4652244708,1.554991513,25,4.24364368,0.0,0.0,0.0,0.0,44.68085106,0,0,0,DarkWeb Haber,"Türkiye Cumhuriyeti'nin eski sistemdeki son Başbakanı Binali Yıldırım, kağıda bakarak İstiklal Marşı'nı okumayı başaramadı. https://t.co/SgaXjIKAUK",HC,LC
